,event_date,cashflow,portfolio,portfolio_plus_cash
0,2022-04-30,0.0,4686374.26,0.0
1,2022-05-31,0.0,4135937.8400000003,4136220.4200000004
2,2022-06-16,-999717.42,0.0,0.0
3,2022-06-19,1000000.0,0.0,0.0
4,2022-06-30,0.0,3982141.76,4607141.76
5,2022-07-13,500000.0,0.0,0.0
6,2022-07-20,125000.0,0.0,0.0
7,2022-07-31,0.0,5249439.299999999,0.0
8,2022-08-31,0.0,5480391.649999999,0.0
9,2022-09-30,0.0,5476506.890000001,5375263.15
10,2022-10-06,-441243.74,0.0,0.0
11,2022-10-16,340000.0,0.0,0.0
12,2022-10-31,0.0,5412427.169999998,0.0
13,2022-11-30,0.0,5439844.400000001,0.0
14,2022-12-31,0.0,5570024.820000001,5580220.220000002
15,2023-01-05,-489804.6,0.0,0.0
16,2023-01-08,500000.0,0.0,0.0
17,2023-01-31,0.0,5279432.83,5779432.83
18,2023-02-06,500000.0,0.0,0.0
19,2023-02-28,0.0,5290569.950000001,0.0
20,2023-03-31,0.0,4889121.08,4899650.55
21,2023-04-05,-439470.53,0.0,0.0
22,2023-04-10,450000.0,0.0,0.0
23,2023-04-30,0.0,5436726.25,0.0
24,2023-05-31,0.0,5538834.9399999995,0.0
25,2023-06-30,0.0,5857616.2,10857616.2
26,2023-07-06,-400000.0,0.0,0.0
27,2023-07-09,5400000.0,0.0,0.0
28,2023-07-31,0.0,11275338.96,0.0
29,2023-08-31,0.0,11386364.924000002,0.0
30,2023-09-30,0.0,11227480.050999997,0.0
31,2023-10-05,-1950000.0,0.0,0.0
32,2023-10-09,1950000.0,0.0,0.0
33,2023-10-31,0.0,10923946.58,0.0
34,2023-11-30,0.0,12772314.981,0.0
35,2023-12-20,-1000000.0,0.0,0.0
36,2023-12-28,1000000.0,0.0,0.0
37,2023-12-31,0.0,14156368.840999998,0.0
38,2024-01-04,-3220000.0,0.0,0.0
39,2024-01-07,3220000.0,0.0,0.0
40,2024-01-31,0.0,14218843.791000001,0.0
41,2024-02-29,0.0,14885653.771000003,0.0
42,2024-03-31,0.0,13887686.331,0.0
43,2024-04-04,-2225000.0,0.0,0.0
44,2024-04-07,2225000.0,0.0,0.0
45,2024-04-30,0.0,13600669.490600001,28600669.4906
46,2024-05-12,15000000.0,0.0,0.0
47,2024-05-31,0.0,30298099.200000003,0.0
48,2024-06-30,0.0,29612122.7706,29612121.8006
49,2024-07-04,-1828118.97,0.0,0.0
50,2024-07-10,1828118.0,0.0,0.0
51,2024-07-31,0.0,34688539.75,0.0
52,2024-08-31,0.0,35334731.05,0.0
53,2024-09-30,0.0,37206500.739999995,0.0
54,2024-10-03,-2575000.0,0.0,0.0
55,2024-10-07,2575000.0,0.0,0.0
56,2024-10-31,0.0,37329842.94,0.0
57,2024-11-30,0.0,38411949.099999994,0.0
58,2024-12-31,0.0,36337813.4411,36333254.4911
59,2025-01-02,-3004558.95,0.0,0.0
60,2025-01-05,3000000.0,0.0,0.0
61,2025-01-31,0.0,34228292.0,0.0
62,2025-02-28,0.0,31398221.101299994,0.0
