broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
BD024,keynote,SPANDANA,137.0,SELL,
BD024,keynote,SHRIRAMFIN,276.0,SELL,
BD024,keynote,MANGCHEFER,572.0,SELL,
BD024,keynote,VHLTD,3030.0,BUY,Total ENTRY
BD024,keynote,RECLTD,72.0,BUY,
BD024,keynote,GPTINFRA,1219.0,BUY,
BD024,keynote,PFC,76.0,BUY,
BD024,keynote,PNB,181.0,BUY,
BD024,keynote,GPTHEALTH,573.0,BUY,
BD024,keynote,PYRAMID,103.0,SELL,
BD024,keynote,AXISBANK,52.0,SELL,
BD024,keynote,BBL,31.0,BUY,
BD024,keynote,KPIGREEN,189.0,BUY,
BD024,keynote,DEEPAKFERT,64.0,SELL,
BD024,keynote,BHARTIARTL,1.0,SELL,
BD024,keynote,VEDL,152.0,BUY,
BD024,keynote,BANKBARODA,152.0,BUY,
BD024,keynote,LIQUIDBEES,57.0,SELL,Total EXIT
